sub	trial	file	base	vc	vot	f0	choice
AL	1	pha_vcLong_0_123.wav	pha	vcLong	0	123	b
AL	2	bha_vcShort_0_123.wav	bha	vcShort	0	123	b
AL	3	pha_vcLong_50_123.wav	pha	vcLong	50	123	bh
AL	4	bha_vcNone_100_95.wav	bha	vcNone	100	95	bh
AL	5	pha_vcNone_0_123.wav	pha	vcNone	0	123	p
AL	6	pha_vcNone_0_150.wav	pha	vcNone	0	150	ph
AL	7	bha_vcShort_25_150.wav	bha	vcShort	25	150	bh
AL	8	bha_vcNone_100_123.wav	bha	vcNone	100	123	ph
AL	9	bha_vcShort_75_123.wav	bha	vcShort	75	123	bh
AL	10	bha_vcShort_0_150.wav	bha	vcShort	0	150	b
AL	11	pha_vcShort_75_95.wav	pha	vcShort	75	95	bh
AL	12	pha_vcShort_0_123.wav	pha	vcShort	0	123	b
AL	13	bha_vcLong_50_150.wav	bha	vcLong	50	150	bh
AL	14	bha_vcNone_75_150.wav	bha	vcNone	75	150	p
AL	15	bha_vcShort_100_123.wav	bha	vcShort	100	123	bh
AL	16	bha_vcNone_50_123.wav	bha	vcNone	50	123	bh
AL	17	pha_vcNone_100_95.wav	pha	vcNone	100	95	p
AL	18	bha_vcLong_0_95.wav	bha	vcLong	0	95	b
AL	19	bha_vcNone_25_150.wav	bha	vcNone	25	150	ph
AL	20	bha_vcShort_25_123.wav	bha	vcShort	25	123	bh
AL	21	pha_vcLong_50_150.wav	pha	vcLong	50	150	bh
AL	22	bha_vcLong_25_123.wav	bha	vcLong	25	123	b
AL	23	bha_vcShort_100_95.wav	bha	vcShort	100	95	bh
AL	24	pha_vcShort_50_123.wav	pha	vcShort	50	123	bh
AL	25	pha_vcShort_0_95.wav	pha	vcShort	0	95	b
AL	26	pha_vcNone_100_150.wav	pha	vcNone	100	150	p
AL	27	pha_vcLong_75_150.wav	pha	vcLong	75	150	bh
AL	28	bha_vcLong_100_150.wav	bha	vcLong	100	150	bh
AL	29	pha_vcNone_50_123.wav	pha	vcNone	50	123	p
AL	30	pha_vcNone_75_150.wav	pha	vcNone	75	150	p
AL	31	pha_vcShort_25_150.wav	pha	vcShort	25	150	b
AL	32	bha_vcNone_0_95.wav	bha	vcNone	0	95	b
AL	33	bha_vcShort_75_95.wav	bha	vcShort	75	95	bh
AL	34	bha_vcLong_25_150.wav	bha	vcLong	25	150	bh
AL	35	pha_vcShort_75_123.wav	pha	vcShort	75	123	bh
AL	36	bha_vcNone_0_150.wav	bha	vcNone	0	150	p
AL	37	pha_vcLong_100_150.wav	pha	vcLong	100	150	bh
AL	38	bha_vcShort_0_95.wav	bha	vcShort	0	95	b
AL	39	pha_vcShort_25_95.wav	pha	vcShort	25	95	bh
AL	40	pha_vcLong_0_150.wav	pha	vcLong	0	150	b
AL	41	bha_vcLong_50_95.wav	bha	vcLong	50	95	bh
AL	42	bha_vcNone_75_123.wav	bha	vcNone	75	123	ph
AL	43	pha_vcNone_25_95.wav	pha	vcNone	25	95	p
AL	44	pha_vcLong_75_95.wav	pha	vcLong	75	95	bh
AL	45	bha_vcShort_75_150.wav	bha	vcShort	75	150	bh
AL	46	pha_vcShort_25_123.wav	pha	vcShort	25	123	b
AL	47	pha_vcNone_25_123.wav	pha	vcNone	25	123	p
AL	48	pha_vcLong_75_123.wav	pha	vcLong	75	123	bh
AL	49	pha_vcShort_75_150.wav	pha	vcShort	75	150	bh
AL	50	bha_vcLong_75_150.wav	bha	vcLong	75	150	bh
AL	51	pha_vcLong_50_95.wav	pha	vcLong	50	95	bh
AL	52	pha_vcNone_75_95.wav	pha	vcNone	75	95	ph
AL	53	bha_vcNone_50_150.wav	bha	vcNone	50	150	p
AL	54	bha_vcNone_0_123.wav	bha	vcNone	0	123	p
AL	55	bha_vcNone_100_150.wav	bha	vcNone	100	150	ph
AL	56	bha_vcNone_50_95.wav	bha	vcNone	50	95	bh
AL	57	pha_vcNone_25_150.wav	pha	vcNone	25	150	p
