CHARACTER	PINYIN	Medial	Init-stop	C	V	Tone	ToneLar	InitMed	InitLar	Sibs	Vowels					
爸	ba4	NA	ba	b	a	4	0	0	y	0	0
壁	bi4	NA	bi	b	i	4	y	0	y	0	0
不当	bu2 dang4	da	NA	d	a	4	0	y	0	0	0
档	dang4	NA	da	d	a	4	y	y	0	0	0
烫	tang4	NA	ta	t	a	4	y	y	0	0	0
一趟	yi2 tang4	ta	NA	t	a	4	0	y	0	0	0
彻底	che4 di3	di	NA	d	i	3	0	y	0	0	0
个体	ge4 ti3	ti	NA	t	i	3	0	y	0	0	0
活动	huo2 dong4	do	NA	d	o	4	0	y	0	0	0
一共	yi2 gong4	go	NA	g	o	4	0	y	0	0	0
遥控	yao2 kong4	ko	NA	k	o	4	0	y	0	0	0
动	dong4	NA	do	d	o	4	0	y	0	0	0
共	gong4	NA	go	g	o	4	0	y	0	0	0
空	kong4	NA	ko	k	o	4	0	y	0	0	0
通	tong4	NA	to	t	o	4	0	y	0	0	0
头痛	tou2 tong4	to	NA	t	o	4	0	y	0	0	0
裆	dang1	NA	da	d	a	1	y	0	0	0	0
持	chi2	NA	NA	tʂʰ	I-apical	2	0	0	0	0	y
三	san1	NA	NA	s	a	1	0	0	0	y	0
不	bu4	NA	bu	b	u	4	0	0	y	0	0
大	da4	NA	da	d	a	4	0	0	y	0	0
吃	chi1	NA	NA	tʂʰ	I-apical	1	0	0	0	y	y
尺	chi3	NA	NA	tʂʰ	I-apical	3	0	0	0	y	y
烧	shao1	NA	NA	ʂ	au	1	0	0	0	y	0
糟	zao1	NA	NA	ts	au	1	0	0	0	y	0
操	cao1	NA	NA	tsʰ	au	1	0	0	0	y	0
招	zhao1	NA	NA	tʂ	au	1	0	0	0	y	0
抄	chao1	NA	NA	tʂʰ	au	1	0	0	0	y	0
斥	chi4	NA	NA	tʂʰ	I-apical	4	0	0	0	0	y
妈	ma1	NA	NA	m	a	1	0	0	0	0	y
逼	bi1	NA	bi	b	i	1	y	0	0	0	0
扫	sao3	NA	NA	s	au	3	0	0	0	y	0
摘	zhai1	NA	NA	tʂ	ai	1	0	0	0	0	y
批	pi1	NA	pi	p	i	1	y	0	0	0	0
傻	sha3	NA	NA	ʂ	au	3	0	0	0	y	0
早	zao3	NA	NA	ts	au	3	0	0	0	y	0
草	cao3	NA	NA	tsʰ	au	3	0	0	0	y	0
找	zhao3	NA	NA	tʂ	au	3	0	0	0	y	0
吵	chao3	NA	NA	tʂʰ	au	3	0	0	0	y	0
